City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Ca Mau,VN,9.1769,105.15,83.77,78,100,3.6,moderate rain
261,Suntar,RU,62.1444,117.6319,33.4,84,99,7.94,overcast clouds
262,Korla,CN,41.7597,86.1469,63.79,24,100,7.58,overcast clouds
263,Yatou,CN,37.15,122.3833,62.17,49,69,12.28,broken clouds
264,Merritt,CA,50.1123,-120.7942,53.2,71,100,3.58,overcast clouds
265,Chulman,RU,56.8479,124.9104,25.39,88,100,9.78,light snow
266,Najran,SA,17.4924,44.1277,77.65,15,3,9.69,clear sky
267,Vung Tau,VN,10.346,107.0843,82.49,77,88,17.67,moderate rain
268,Castro,BR,-24.7911,-50.0119,60.26,98,100,5.48,moderate rain
269,Vanimo,PG,-2.6741,141.3028,82.94,73,86,5.41,overcast clouds
270,Upington,ZA,-28.4478,21.2561,79.18,36,0,11.5,clear sky
271,San Rafael,AR,-34.6177,-68.3301,60.19,55,2,6.13,clear sky
272,Taltal,CL,-25.4,-70.4833,57.56,74,8,2.33,clear sky
273,Lasa,IT,46.6166,10.7002,50.88,72,91,2.44,overcast clouds
274,Shujalpur,IN,23.4,76.7167,82.65,38,0,6.49,clear sky
275,Tupik,RU,54.4253,119.9327,38.17,62,6,5.73,clear sky
276,Guilin,CN,25.2819,110.2864,82.51,18,98,1.01,overcast clouds
277,Sola,VU,-13.8833,167.55,81.18,78,30,14.88,scattered clouds
278,Cidreira,BR,-30.1811,-50.2056,63.7,96,100,5.86,overcast clouds
279,Inuvik,CA,68.3499,-133.7218,25.81,90,100,9.22,light snow
280,Ola,RU,59.5833,151.2833,24.84,55,100,10.07,overcast clouds
281,Caravelas,BR,-17.7125,-39.2481,71.29,85,73,5.84,broken clouds
282,Magnitka,RU,55.3475,59.6961,38.61,96,100,2.59,light rain
283,Westport,US,41.1415,-73.3579,48.81,73,2,5.99,clear sky
284,Garden City,US,42.3256,-83.331,39.22,78,100,9.46,overcast clouds
285,Nuevo Progreso,MX,23.1667,-97.95,64.47,57,51,4.72,broken clouds
286,Portland,US,45.5234,-122.6762,64.02,77,100,5.01,haze
287,College,US,64.8569,-147.8028,35.8,92,100,3.44,mist
288,Hamilton,US,39.1834,-84.5333,38.57,61,7,6.53,clear sky
289,Axim,GH,4.8699,-2.2405,78.15,85,42,6.35,light rain
290,Mitsamiouli,KM,-11.3847,43.2844,80.89,57,20,12.66,few clouds
291,Ponta Do Sol,PT,32.6667,-17.1,76.01,94,99,13.94,heavy intensity rain
292,Moree,AU,-29.4667,149.85,68.11,82,100,11.54,moderate rain
293,Tangjiazhuang,CN,39.7333,118.45,67.32,25,100,12.28,overcast clouds
294,Magam,IN,34.0833,74.5833,51.35,83,100,7.65,overcast clouds
295,Ayan,RU,56.45,138.1667,38.07,53,99,14.61,overcast clouds
296,Lompoc,US,34.6391,-120.4579,71.58,68,0,6.91,clear sky
297,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.31,88,100,17.78,overcast clouds
298,Harper,LR,4.375,-7.7169,75.16,90,100,3.02,light rain
299,La Ronge,CA,55.1001,-105.2842,59.25,41,75,9.22,broken clouds
300,Colares,PT,38.7992,-9.4469,67.19,95,40,21.0,scattered clouds
301,Santarem,BR,-2.4431,-54.7083,82.53,78,40,11.5,scattered clouds
302,Bairiki,KI,1.3292,172.9752,82.4,74,40,8.05,scattered clouds
303,Fortuna,US,40.5982,-124.1573,53.94,86,2,3.13,clear sky
304,Jalu,LY,29.0331,21.5482,72.16,51,91,5.77,overcast clouds
305,Grindavik,IS,63.8424,-22.4338,41.47,93,75,17.27,broken clouds
306,Morgan City,US,29.6994,-91.2068,42.8,93,0,0.0,clear sky
307,Dunedin,NZ,-45.8742,170.5036,49.8,84,73,23.0,broken clouds
308,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,41,13.29,light rain
309,Grand Gaube,MU,-20.0064,57.6608,77.4,59,32,11.99,scattered clouds
310,Meulaboh,ID,4.1363,96.1285,79.11,84,100,3.58,overcast clouds
311,Ulaanbaatar,MN,47.9077,106.8832,39.33,70,75,6.71,broken clouds
312,La Asuncion,VE,11.0333,-63.8628,80.33,94,16,10.36,few clouds
313,Fairbanks,US,64.8378,-147.7164,35.82,93,100,3.44,mist
314,Pozo Colorado,PY,-23.4923,-58.7972,70.2,98,98,2.93,heavy intensity rain
315,Blythe,US,33.6103,-114.5964,76.6,27,0,3.76,clear sky
316,Aripuana,BR,-9.1667,-60.6333,71.6,99,100,1.63,light rain
317,Ban Nahin,LA,18.2418,104.2122,83.37,52,58,2.24,broken clouds
318,Abonnema,NG,4.7084,6.7931,78.71,84,44,5.55,scattered clouds
319,Kieta,PG,-6.2167,155.6333,82.89,73,93,3.83,overcast clouds
